/award/award_winner/awards_won./award/award_honor/award_winner
length: 2, num: 6
Qualify Rule 1:  [2, 2] :[NSC, SC, HC] [0.75, 0.75, 0.001034126163391934] 2 /media_common/netflix_genre/titles; 2 /media_common/netflix_genre/titles; 
Qualify Rule 2:  [78, 2] :[NSC, SC, HC] [1.0, 1.0, 0.0031023784901758012] 78 /film/film_subject/films; 2 /media_common/netflix_genre/titles; 
Rule 3:  [2, 122] :[NSC, SC, HC] [0.40463065049614111, 0.291005291005291, 0.05687693898655636] 2 /media_common/netflix_genre/titles; 122 /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for; 
Rule 4:  [2, 123] :[NSC, SC, HC] [0.41051454138702459, 0.2879858657243816, 0.05618752154429507] 2 /media_common/netflix_genre/titles; 123 /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for^-1; 
Rule 5:  [137, 2] :[NSC, SC, HC] [0.19047619047619047, 0.19047619047619047, 0.0013788348845225785] 137 /tv/tv_program/genre^-1; 2 /media_common/netflix_genre/titles; 
Rule 6:  [181, 2] :[NSC, SC, HC] [0.26666666666666666, 0.26666666666666666, 0.002757669769045157] 181 /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location^-1; 2 /media_common/netflix_genre/titles; 

Rules number: 4
Qualify Rules number: 2

/award/award_winner/awards_won./award/award_honor/award_winner
length: 3, num: 353
Rule 16:  [235, 234, 3] :[NSC, SC, HC] [0.45416666666666666, 0.31097560975609756, 0.03576437587657784] 235 /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend^-1; 234 /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 17:  [102, 320, 3] :[NSC, SC, HC] [0.24390243902439024, 0.21621621621621623, 0.005610098176718092] 102 /base/popstra/celebrity/breakup./base/popstra/breakup/participant; 320 /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 18:  [320, 102, 3] :[NSC, SC, HC] [0.23728813559322035, 0.19642857142857142, 0.007713884992987377] 320 /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity; 102 /base/popstra/celebrity/breakup./base/popstra/breakup/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 19:  [87, 369, 3] :[NSC, SC, HC] [0.015463917525773196, 0.015957446808510637, 0.0021037868162692847] 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 369 /people/person/spouse_s./people/marriage/spouse^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 20:  [369, 87, 3] :[NSC, SC, HC] [0.022421524663677129, 0.023923444976076555, 0.0035063113604488078] 369 /people/person/spouse_s./people/marriage/spouse^-1; 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 21:  [3, 214, 215] :[NSC, SC, HC] [0.47222222222222221, 0.4722222222222222, 0.023842917251051893] 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 214 /film/film/written_by; 215 /film/film/written_by^-1; 
Qualify Rule 22:  [215, 214, 3] :[NSC, SC, HC] [0.71999999999999997, 0.6727272727272727, 0.025946704067321177] 215 /film/film/written_by^-1; 214 /film/film/written_by; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 23:  [321, 151, 3] :[NSC, SC, HC] [0.15976331360946747, 0.14551083591331268, 0.03295932678821879] 321 /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity^-1; 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 24:  [151, 321, 3] :[NSC, SC, HC] [0.19266055045871561, 0.16336633663366337, 0.02314165497896213] 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 321 /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 25:  [340, 87, 3] :[NSC, SC, HC] [0.046511627906976744, 0.04878048780487805, 0.001402524544179523] 340 /people/person/sibling_s./people/sibling_relationship/sibling; 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
